INFO 2021-11-25 08:16:15,907: 803 entries were already downloaded
INFO 2021-11-25 08:16:15,907: Updating SPOT_ETH_USDT_1m.csv
INFO 2021-11-25 08:16:16,785: 802 entries were already downloaded
INFO 2021-11-25 09:45:27,933: Updating SPOT_BTC_USDT_1m.csv
INFO 2021-11-25 09:45:29,430: 910 entries were already downloaded
INFO 2021-11-25 09:45:29,430: Updating SPOT_ETH_USDT_1m.csv
INFO 2021-11-25 09:45:30,875: 910 entries were already downloaded
INFO 2021-11-25 10:00:02,881: Updating SPOT_BTC_USDT_1m.csv
INFO 2021-11-25 10:00:04,061: 984 entries were already downloaded
INFO 2021-11-25 10:00:04,062: Updating SPOT_ETH_USDT_1m.csv
INFO 2021-11-25 10:00:05,494: 985 entries were already downloaded
INFO 2021-11-25 11:00:02,690: Updating SPOT_BTC_USDT_1m.csv
INFO 2021-11-25 11:00:04,164: 939 entries were already downloaded
INFO 2021-11-25 11:00:04,165: Updating SPOT_ETH_USDT_1m.csv
INFO 2021-11-25 11:00:05,595: 939 entries were already downloaded
INFO 2021-11-25 12:00:02,787: Updating SPOT_BTC_USDT_1m.csv
INFO 2021-11-25 12:00:04,302: 940 entries were already downloaded
INFO 2021-11-25 12:00:04,303: Updating SPOT_ETH_USDT_1m.csv
INFO 2021-11-25 12:00:04,982: 939 entries were already downloaded
INFO 2021-11-25 13:00:02,621: Updating SPOT_BTC_USDT_1m.csv
INFO 2021-11-25 13:00:03,718: 938 entries were already downloaded
INFO 2021-11-25 13:00:03,718: Updating SPOT_ETH_USDT_1m.csv
INFO 2021-11-25 13:00:04,833: 939 entries were already downloaded
INFO 2021-11-25 14:00:02,616: Updating SPOT_BTC_USDT_1m.csv
INFO 2021-11-25 14:00:04,072: 939 entries were already downloaded
INFO 2021-11-25 14:00:04,072: Updating SPOT_ETH_USDT_1m.csv
INFO 2021-11-25 14:00:05,296: 938 entries were already downloaded
INFO 2021-11-25 15:00:02,612: Updating SPOT_BTC_USDT_1m.csv
INFO 2021-11-25 15:00:04,102: 940 entries were already downloaded
INFO 2021-11-25 15:00:04,102: Updating SPOT_ETH_USDT_1m.csv
INFO 2021-11-25 15:00:05,243: 940 entries were already downloaded
INFO 2021-11-25 16:00:02,667: Updating SPOT_BTC_USDT_1m.csv
INFO 2021-11-25 16:00:04,121: 938 entries were already downloaded
INFO 2021-11-25 16:00:04,122: Updating SPOT_ETH_USDT_1m.csv
INFO 2021-11-25 16:00:05,273: 939 entries were already downloaded
INFO 2021-11-25 17:00:02,558: Updating SPOT_BTC_USDT_1m.csv
INFO 2021-11-25 17:00:04,033: 939 entries were already downloaded
INFO 2021-11-25 17:00:04,034: Updating SPOT_ETH_USDT_1m.csv
INFO 2021-11-25 17:00:05,478: 939 entries were already downloaded
INFO 2021-11-25 18:00:02,610: Updating SPOT_BTC_USDT_1m.csv
INFO 2021-11-25 18:00:03,746: 939 entries were already downloaded
INFO 2021-11-25 18:00:03,746: Updating SPOT_ETH_USDT_1m.csv
INFO 2021-11-25 18:00:04,621: 938 entries were already downloaded
INFO 2021-11-25 19:00:02,659: Updating SPOT_BTC_USDT_1m.csv
INFO 2021-11-25 19:00:04,171: 940 entries were already downloaded
